CONCESSIONÁRIAS;CIDADE_IBGE;UF_IBGE
VOLVO;SALVADOR;BA
VOLVO;MACEIO;AL
KIA;SALVADOR;BA
KIA;FEIRA DE SANTANA;BA
KIA;VITORIA DA CONQUISTA;BA
KIA;MACEIO;AL
BMW;SALVADOR;BA
TROLLER;LAURO DE FREITAS;BA
AUDI;RIBEIRAO PRETO;SP
AUDI;S JOSE DO RIO PRETO;SP
KIA;RIBEIRAO PRETO;SP
KIA;S JOSE DO RIO PRETO;SP
BMW;RIBEIRAO PRETO;SP
MERCEDES BENZ;RIBEIRAO PRETO;SP
VOLVO;RIBEIRAO PRETO;SP
VOLVO;MANAUS;AM
KIA;MANAUS;AM
KIA;PORTO VELHO;RO
MERCEDES BENZ;MANAUS;AM
MINI;MANAUS;AM
LAND ROVER;BELEM;PA
MITSUBISHI;PARAUAPEBAS;PA
MITSUBISHI;REDENCAO;PA
MITSUBISHI;SANTAREM;PA
MITSUBISHI;ALTAMIRA;PA
MITSUBISHI;ANANINDEUA;PA
MITSUBISHI;MACAPA;AP
MITSUBISHI;MARABA;PA
AUDI;JOINVILLE;SC
AUDI;BALNEARIO CAMBORIU;SC
AUDI;BLUMENAU;SC
KIA;CRICIUMA;SC
KIA;BALNEARIO CAMBORIU;SC
KIA;XANXERE;SC
KIA;FLORIANOPOLIS;SC
KIA;JOINVILLE;SC
KIA;BLUMENAU;SC
VOLVO;SAO JOSE;SC
TROLLER;SAO JOSE;SC
AUDI;FLORIANOPOLIS;SC
BMW;BLUMENAU;SC
MERCEDES BENZ;SAO JOSE;SC
LAND ROVER;BLUMENAU;SC
SUZUKI;CHAPECO;SC
MITSUBISHI;BLUMENAU;SC
MITSUBISHI;SAO BENTO DO SUL;SC
KIA;BRASILIA;DF
MERCEDES BENZ;BRASILIA;DF
BMW;BRASILIA;DF
JAGUAR;PALMAS;TO
MITSUBISHI;LUIS EDUARDO MAGALHAES;BA
MITSUBISHI;ARAGUAINA;TO
SUZUKI;BRASILIA;DF
MITSUBISHI;BARREIRAS;BA
MITSUBISHI;PALMAS;TO
MITSUBISHI;BRASILIA;DF
LAND ROVER;BRASILIA;DF
MITSUBISHI;INDAIATUBA;SP
LAND ROVER;CAMPINAS;SP
LAND ROVER;SOROCABA;SP
MITSUBISHI;JUNDIAI;SP
MITSUBISHI;BRAGANCA PAULISTA;SP
MITSUBISHI;MOGI GUACU;SP
KIA;SANTOS;SP
MERCEDES BENZ;SANTOS;SP
BMW;S BERNARDO DO CAMPO;SP
KIA;SAO JOSE DOS CAMPOS;SP
KIA;SAO PAULO;SP
KIA;SANTO ANDRE;SP
AUDI;SANTOS;SP
MERCEDES BENZ;CAMPO GRANDE;MS
VOLVO;CAMPO GRANDE;MS
KIA;CAMPO GRANDE;MS
VOLVO;CUIABA;MT
MINI;CAMPO GRANDE;MS
BMW;DOURADOS;MS
AUDI;CAMPO GRANDE;MS
KIA;CUIABA;MT
MERCEDES BENZ;UBERLANDIA;MG
MINI;CUIABA;MT
MITSUBISHI;SINOP;MT
MITSUBISHI;DOURADOS;MS
LAND ROVER;UBERLANDIA;MG
LAND ROVER;CUIABA;MT
MITSUBISHI;UBERABA;MG
MITSUBISHI;JUINA;MT
SUZUKI;UBERLANDIA;MG
MITSUBISHI;CAMPO GRANDE;MS
MITSUBISHI;PATOS DE MINAS;MG
MITSUBISHI;CUIABA;MT
SUZUKI;CAMPO GRANDE;MS
DODGE;DOURADOS;MS
LAND ROVER;CAMPO GRANDE;MS
LAND ROVER;BALNEARIO CAMBORIU;SC
LAND ROVER;FLORIANOPOLIS;SC
SUZUKI;ITAJAI;SC
MITSUBISHI;JOINVILLE;SC
MITSUBISHI;FLORIANOPOLIS;SC
MITSUBISHI;SAO JOSE;SC
MITSUBISHI;CRICIUMA;SC
MITSUBISHI;TUBARAO;SC
BMW;FORTALEZA;CE
VOLVO;FORTALEZA;CE
TROLLER;FORTALEZA;CE
BMW;SAO LUIS;MA
VOLVO;TERESINA;PI
BMW;TERESINA;PI
MERCEDES BENZ;SAO LUIS;MA
KIA;TERESINA;PI
KIA;FORTALEZA;CE
KIA;FORTALEZA;CE
MERCEDES BENZ;FORTALEZA;CE
LAND ROVER;TERESINA;PI
LAND ROVER;FORTALEZA;CE
SUZUKI;TERESINA;PI
MITSUBISHI;SOBRAL;CE
SUZUKI;FORTALEZA;CE
MITSUBISHI;FORTALEZA;CE
MITSUBISHI;TERESINA;PI
MITSUBISHI;URUACU;GO
MITSUBISHI;GOIANIA;GO
MITSUBISHI;RIO VERDE;GO
MITSUBISHI;CATALAO;GO
LAND ROVER;GOIANIA;GO
VOLVO;GOIANIA;GO
KIA;SAO PAULO;SP
KIA;GOIANIA;GO
BMW;GOIANIA;GO
MERCEDES BENZ;GOIANIA;GO
AUDI;SOROCABA;SP
VOLVO;SAO PAULO;SP
BMW;SAO PAULO;SP
AUDI;SAO JOSE DOS CAMPOS;SP
VOLVO;MOGI DAS CRUZES;SP
MITSUBISHI;BOA VISTA;RR
MITSUBISHI;PORTO VELHO;RO
LAND ROVER;MANAUS;AM
MITSUBISHI;MANAUS;AM
MITSUBISHI;RIO BRANCO;AC
MITSUBISHI;MANAUS;AM
AUDI;UBERLANDIA;MG
AUDI;BELO HORIZONTE;MG
KIA;GOVERNADOR VALADARES;MG
KIA;BELO HORIZONTE;MG
AUDI;JUIZ DE FORA;MG
VOLVO;BELO HORIZONTE;MG
BMW;BELO HORIZONTE;MG
LAND ROVER;BELO HORIZONTE;MG
MITSUBISHI;GOVERNADOR VALADARES;MG
MITSUBISHI;PASSOS;MG
MITSUBISHI;IPATINGA;MG
MITSUBISHI;DIVINOPOLIS;MG
MITSUBISHI;POUSO ALEGRE;MG
MITSUBISHI;SETE LAGOAS;MG
SUZUKI;JUIZ DE FORA;MG
SUZUKI;BELO HORIZONTE;MG
MITSUBISHI;BELO HORIZONTE;MG
MITSUBISHI;JUIZ DE FORA;MG
MITSUBISHI;BELO HORIZONTE;MG
MITSUBISHI;NATAL;RN
MITSUBISHI;CABEDELO;PB
LAND ROVER;CABEDELO;PB
LAND ROVER;NATAL;RN
SUZUKI;CABEDELO;PB
SUZUKI;SAO LUIS;MA
MITSUBISHI;SAO LUIS;MA
MITSUBISHI;MOSSORO;RN
LAND ROVER;SAO LUIS;MA
VOLVO;CURITIBA;PR
AUDI;CURITIBA;PR
KIA;CURITIBA;PR
KIA;CASCAVEL;PR
BMW;CASCAVEL;PR
BMW;LONDRINA;PR
MINI;CURITIBA;PR
KIA;CURITIBA;PR
MERCEDES BENZ;LONDRINA;PR
AUDI;CURITIBA;PR
TROLLER;CURITIBA;PR
MERCEDES BENZ;CURITIBA;PR
BMW;MARINGA;PR
MITSUBISHI;MARINGA;PR
LAND ROVER;LONDRINA;PR
LAND ROVER;CURITIBA;PR
LAND ROVER;MARINGA;PR
MITSUBISHI;LONDRINA;PR
MITSUBISHI;PATO BRANCO;PR
MITSUBISHI;CURITIBA;PR
MITSUBISHI;GUARAPUAVA;PR
MITSUBISHI;CASCAVEL;PR
MITSUBISHI;CURITIBA;PR
MITSUBISHI;PATO BRANCO;PR
SUZUKI;CURITIBA;PR
MITSUBISHI;CAXIAS DO SUL;RS
MITSUBISHI;PELOTAS;RS
MITSUBISHI;LAJEADO;RS
LAND ROVER;PORTO ALEGRE;RS
MITSUBISHI;PASSO FUNDO;RS
MITSUBISHI;URUGUAIANA;RS
MITSUBISHI;BAGE;RS
MITSUBISHI;SANTA MARIA;RS
MITSUBISHI;PORTO ALEGRE;RS
SUZUKI;PORTO ALEGRE;RS
MITSUBISHI;PORTO ALEGRE;RS
MITSUBISHI;NOVO HAMBURGO;RS
MERCEDES BENZ;RECIFE;PE
MERCEDES BENZ;NATAL;RN
KIA;NATAL;RN
VOLVO;RECIFE;PE
MITSUBISHI;CARUARU;PE
MITSUBISHI;RECIFE;PE
MITSUBISHI;RECIFE;PE
LAND ROVER;RECIFE;PE
LAND ROVER;S JOSE DO RIO PRETO;SP
LAND ROVER;RIBEIRAO PRETO;SP
MITSUBISHI;S JOSE DO RIO PRETO;SP
MITSUBISHI;RIBEIRAO PRETO;SP
MITSUBISHI;S JOSE DO RIO PRETO;SP
MITSUBISHI;PRESIDENTE PRUDENTE;SP
MITSUBISHI;CAMPOS GOYTACAZES;RJ
MITSUBISHI;VILA VELHA;ES
MITSUBISHI;VOLTA REDONDA;RJ
SUZUKI;VITORIA;ES
MITSUBISHI;PETROPOLIS;RJ
SUZUKI;RIO DE JANEIRO;RJ
SUZUKI;NITEROI;RJ
MITSUBISHI;NITEROI;RJ
MITSUBISHI;RIO DE JANEIRO;RJ
SUZUKI;RIO DE JANEIRO;RJ
MITSUBISHI;RIO DE JANEIRO;RJ
LAND ROVER;VITORIA;ES
LAND ROVER;NITEROI;RJ
KIA;PETROPOLIS;RJ
VOLVO;VITORIA;ES
BMW;VITORIA;ES
